,tweets,time
662,RT @TraderBJones: We haven't seen anything like these #NFT stocks since bitcoin got hot last summer and I gave out $MARA and $RIOT at $2.00.,2021-03-22 23:23:02
663,We haven't seen anything like these #NFT stocks since bitcoin got hot last summer and I gave out $MARA and $RIOT at $2.00.,2021-03-22 23:22:35
664,"1: Bitcoin price is $54865.08 (-0.45% 1h)
2: Ethereum price is $1701.21 (0.12% 1h)
3: Binance Coin price is $258.83… https://t.co/nuZILy4ioy",2021-03-22 23:19:30
665,"The current price of Bitcoin is $54944.00.
The current price of BCash is $514.20, or 0.00935862 BTC.
The current pr… https://t.co/VNHbJ9cCvK",2021-03-22 23:15:01
666,"Tue Mar 23 00:12:24 2021 (0:50)
USD : 54,834.33
Wght: 209,202
Blk#: 675,844
Size: 1,297.4
Txs : 1,960
Pool: 37,115 (78.7 MB)
#bitcoin",2021-03-22 23:12:54
667,"Tue Mar 23 00:11:34 2021 (15:12)
USD : 54,809.63
Wght: 209,107
Blk#: 675,843
Size: 1,186.0
Txs : 1,455
Pool: 38,998 (79.6 MB)
#bitcoin",2021-03-22 23:12:24
668,"Hourly Price Alert: BTC dropped by -5.44% to $54,759.00. LTC dropped by -4.72% to $187.00. ETH dropped by -5.67% to… https://t.co/iJ2WZC5T8o",2021-03-22 23:09:07
669,on the 03/22/2021 at 11:02 1BTC was worth $54741.00 #Bitcoin #Crypto #BotcoinUSD #Bitfinex,2021-03-22 23:02:33
670,"Top 5 Cryptocurrencies Prices

$BTC: $54,758.21 - Bitcoin 🔻 -0.42%
$ETH: $1,698.04 - Ethereum ⬆️ +0.08%
$BNB: $258.… https://t.co/WS398XdiOZ",2021-03-22 23:00:21
671,"The price of
Spaghetti alla Carbonara
is 20,121 Satoshis
or 0.00020121 BTC

BTC price: 54,620.50 USD
on Monday, 22… https://t.co/qHWJL5qHAy",2021-03-22 23:00:05
672,"Bitcoin Price: $54,432.00
High: $58,609.00 | Low: $54,109.00

1h: -0.61%
24h: -5.85%

ATH: $61,712.00
%Change: -11.76%",2021-03-22 22:59:36
673,"You know what scares me is...
*Working a job I hate for $10.00 an hour.
*Living paycheck to paycheck.
*Not being ab… https://t.co/ELoaJf8jVD",2021-03-22 22:56:40
674,"RT @BlockWatcher: Mon Mar 22 23:54:00 2021 (3:39)
USD : 54,508.69
Wght: 207,959
Blk#: 675,841
Size: 1,144.1
Txs : 1,614
Pool: 38,186 (79.6…",2021-03-22 22:55:16
675,"Mon Mar 22 23:54:00 2021 (3:39)
USD : 54,508.69
Wght: 207,959
Blk#: 675,841
Size: 1,144.1
Txs : 1,614
Pool: 38,186 (79.6 MB)
#bitcoin",2021-03-22 22:54:52
676,"RT @MXC_Exchange: #MXCExchange will be listing $LEAD on the Innovation Zone today. @leadwallet 🔥

Deposit &amp; withdrawal is now OPEN🎉

LEAD/U…",2021-03-22 22:50:38
677,New Bitcoin block 00..b0d76c50fef1da878c880e3fe2a3c5e70280c2c3ce537: 2341 transactions transferred a total of 37599… https://t.co/ABHscVXvIs,2021-03-22 22:50:35
678,"RT @GregSchoen: I wish I had kept my 1,700 BTC @ $0.06 instead of selling them at $0.30, now that they're $8.00! #bitcoin",2021-03-22 22:45:38
679,"RT @GregSchoen: I wish I had kept my 1,700 BTC @ $0.06 instead of selling them at $0.30, now that they're $8.00! #bitcoin",2021-03-22 22:42:33
680,"RT @MXC_Exchange: #MXCExchange will be listing $LEAD on the Innovation Zone today. @leadwallet 🔥

Deposit &amp; withdrawal is now OPEN🎉

LEAD/U…",2021-03-22 22:41:12
681,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/5lPaBniipM",2021-03-22 22:40:13
682,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/niNWgU6QMt",2021-03-22 22:38:53
683,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/gaDRPkYw10",2021-03-22 22:38:08
684,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/ewbUwNIyAS",2021-03-22 22:36:38
685,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/Ct08q4hFQo",2021-03-22 22:34:56
686,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/N8YArORu42",2021-03-22 22:30:10
687,"RT @GregSchoen: I wish I had kept my 1,700 BTC @ $0.06 instead of selling them at $0.30, now that they're $8.00! #bitcoin",2021-03-22 22:29:47
688,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/b0USt233f9",2021-03-22 22:29:41
689,"RT @100trillionUSD: If you did not buy #bitcoin last month, because you thought BTC was too expensive at $50K .. then you already missed ou…",2021-03-22 22:28:54
690,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/DHE3IE28A8",2021-03-22 22:22:31
691,"1: Bitcoin price is $54761.85 (-2.55% 1h)
2: Ethereum price is $1696.64 (-3.18% 1h)
3: Binance Coin price is $258.1… https://t.co/SMhXq5XuNk",2021-03-22 22:19:30
692,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/8P8VesE088",2021-03-22 22:16:31
693,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/ueL1kkIV7V",2021-03-22 22:16:21
694,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/j4XEsR3FOI",2021-03-22 22:16:10
695,RT @BtcSenti: Bitcoin Fear Index on google search statistics (higher = more market fear) #Bitcoin #BTC #dataviz #datavisualisation   19:00:…,2021-03-22 22:14:21
696,"RT @gate_io: 🔥Get your Monday ""Crypto Fix"" with @patrickvelleman  today @ 12:00 UTC!🔥 

#NYDIG head says major firms will announce Bitcoin…",2021-03-22 22:12:47
697,"RT @decryptmedia: Amid fresh turmoil surrounding Turkey's economy, more and more Turkish residents are turning to Bitcoin, according to ind…",2021-03-22 22:09:39
698,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/faWypAE6cj",2021-03-22 22:07:13
699,"RT @CryptoGulp: Top 5 Cryptocurrencies - Current Prices

🔻 $BTC: $54,944.15 | Bitcoin -2.19% ☄☄
🔻 $ETH: $1,691.16 | Ethereum -3.66% ☄☄☄☄
🔻…",2021-03-22 22:04:11
700,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/XzaIykqJkV",2021-03-22 22:03:41
701,Bitcoin Rally Stirs BofA Alarm on ‘Enormous’ Surge in Energy Use https://t.co/uanjfSOL0H,2021-03-22 22:02:50
702,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/bU5KPXD6Ir",2021-03-22 22:02:44
703,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/1Xwxzn8U4x",2021-03-22 22:02:31
704,#Crypto prices | 6:00 PM | 3/22/21 https://t.co/t9zjm0h02K #Bitcoin #BTC $BTC #Ethereum #ETH #Tether #USDT… https://t.co/tJhPn7mzCJ,2021-03-22 22:01:57
705,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/3iXu218TpX",2021-03-22 22:01:41
706,"Coins with the highest 24-hour social dominance.
#Bitcoin $BTC 36.78%
#Ethereum $ETH 6.00%
#Dogecoin $DOGE 3.97%… https://t.co/oK5TBWTK7e",2021-03-22 22:01:39
707,"🔴🔴 #𝗕𝗜𝗧𝗖𝗢𝗜𝗡 𝗣𝗥𝗜𝗖𝗘 𝗔𝗖𝗧𝗜𝗢𝗡 🔴🔴

Price 𝗽𝗹𝘂𝗻𝗴𝗲𝗱 by -0,80% ($-434,42) in 75 min 8 sec
Current Price: $54 088,00
Daily Cha… https://t.co/Wpn6PQOMqn",2021-03-22 22:01:33
708,"🔴🔴 #𝗕𝗜𝗧𝗖𝗢𝗜𝗡 𝗣𝗥𝗜𝗖𝗘 𝗔𝗖𝗧𝗜𝗢𝗡 🔴🔴

Price 𝗽𝗹𝘂𝗻𝗴𝗲𝗱 by -0,80% ($-433,44) in 75 min 8 sec
Current Price: $54 089,00
Daily Cha… https://t.co/hY4tyBJ6xI",2021-03-22 22:01:33
709,on the 03/22/2021 at 10:01 1BTC was worth $54318.00 #Bitcoin #Crypto #BotcoinUSD #Bitfinex,2021-03-22 22:01:10
710,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/gZaxlZMRUf",2021-03-22 22:00:48
711,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/hci6gTc438",2021-03-22 22:00:28
712,"RT @MXC_Exchange: #MXCExchange will be listing $LEAD on the Innovation Zone today. @leadwallet 🔥

Deposit &amp; withdrawal is now OPEN🎉

LEAD/U…",2021-03-22 22:00:27
713,"Top 5 Cryptocurrencies - Current Prices

🔻 $BTC: $54,944.15 | Bitcoin -2.19% ☄☄
🔻 $ETH: $1,691.16 | Ethereum -3.66%… https://t.co/sdcoRM8LXK",2021-03-22 22:00:25
714,"Price of Bitcoin

U$    54,612.10
€U    45,953.00
R$    305,458.80

24H % change: -5.94%
Week % change: -3.81%
Mont… https://t.co/6jhVegyy0t",2021-03-22 22:00:25
715,"#Bitcoin

Price (Binance): $54745.08 (0.04)%
Dominance: 61.00 (-0.11)%
Calculated by TradingView

#btc #altcoin $btc $alts",2021-03-22 22:00:22
716,"The price of
Spaghetti alla Carbonara
is 20,141 Satoshis
or 0.00020141 BTC

BTC price: 54,565.30 USD
on Monday, 22… https://t.co/utiTqH3qbz",2021-03-22 22:00:04
717,"Crypto highlights as of 2021-03-22 18:00:01:
#Bitcoin $54,728.20 -5.94% 🔻
#Ethereum  $1,682.45  -7.12% 🔻",2021-03-22 22:00:02
718,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/7wPRAfO4hN",2021-03-22 21:59:35
719,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/NT7AxWXp9r",2021-03-22 21:58:52
720,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/PLAVIg73jJ",2021-03-22 21:58:10
721,"Bitcoin could plunge 90% into a 'winter' lasting years after another surge, crypto-exchange founder says https://t.co/C29DZCeRtg",2021-03-22 21:57:52
722,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/GxCTTErmPs",2021-03-22 21:57:34
723,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/1lImTFKlC8",2021-03-22 21:56:48
724,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/PLUQR4rLMo",2021-03-22 21:56:21
725,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/Q49kHZspdv",2021-03-22 21:56:18
726,"I'm discussing “🇵🇷 Bitcoin in Puerto Rico 🇵🇷” with @BougeyBaby, @makeupbytra, @elCriptonomista, @JeanTeissonnie1, a… https://t.co/UbAtloR5xe",2021-03-22 21:55:05
727,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/HtrG5SXZpo",2021-03-22 21:54:44
728,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/YgCdPa0dW7",2021-03-22 21:54:08
729,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/P7eoPbWQWl",2021-03-22 21:53:38
730,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/hVm5ohtPW1",2021-03-22 21:53:25
731,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/dOSMwarOCA",2021-03-22 21:52:55
732,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/hBeHdXeBP9",2021-03-22 21:52:20
733,"RT @YourBTCC: Guess #Bitcoin Price by 17:00:00 on 28 March, 2021 (UTC + 8).

1⃣Follow &amp; RT
2⃣Comment to win 50 USDT

Register to win extra…",2021-03-22 21:48:29
734,"RT @Bitcoin8News: The $BTC price is at $54800.00 right now.
🟢 Compared to the last tweet, the price has increased by $271.61 (0.50%).
🔴 In…",2021-03-22 21:47:35
735,"The $BTC price is at $54800.00 right now.
🟢 Compared to the last tweet, the price has increased by $271.61 (0.50%).… https://t.co/5BwgmejnZ6",2021-03-22 21:47:25
736,"Purchased: 'IT’S SUPER SATOSHI!' by @LuchoPoletti Cost: $450.00. It's a rocket, it's a UFO, NO...It's Super Satoshi… https://t.co/WG2VCxyCOu",2021-03-22 21:41:27
737,"RT @YourBTCC: Guess #Bitcoin Price by 17:00:00 on 28 March, 2021 (UTC + 8).

1⃣Follow &amp; RT
2⃣Comment to win 50 USDT

Register to win extra…",2021-03-22 21:38:45
738,"Don’t see much support for #Bitcoin until 50,000.00

$btc",2021-03-22 21:28:50
739,"RT @francispouliot_: If you had sold your house for Bitcoin 2 years ago at $400,000 today you'd have over $4,000,000. Now it's worth $650,0…",2021-03-22 21:27:55
740,"Half hourly price update (USDT):

• BSV (Bitcoin): $203.21

Dead forks:

• BTC (Blockstream Turd Coin): $54699.86
• BCH (BTrash): $513.00",2021-03-22 21:26:39
741,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/vZA94j54cQ",2021-03-22 21:24:38
742,"Is your bitcoin wallet 00.00 I can help you make more
$300 =$4,100weekly
$350 =$4,500 weekly
$400=$5,100 weekly
$45… https://t.co/KBb0fkrwlh",2021-03-22 21:21:52
743,"1: Bitcoin price is $55113.00 (-1.93% 1h)
2: Ethereum price is $1699.14 (-3.18% 1h)
3: Binance Coin price is $261.4… https://t.co/PMXuztff6e",2021-03-22 21:19:29
744,There are people out there who click on forgot password every time they need to log in...who give phone scammers re… https://t.co/EY58vYH3bv,2021-03-22 21:18:58
745,New Bitcoin block 00..7a54b36db095863609fec4761634d4acb0b326a9d4b9a: 2651 transactions transferred a total of 4716.… https://t.co/pcoZOXAGgH,2021-03-22 21:16:28
746,@Uniswap Listed on #HTMLCOIN moon $1.00 https://t.co/gBPm5NT4pO,2021-03-22 21:15:55
747,"Mon Mar 22 22:11:01 2021 (26:00)
USD : 54,958.01
Wght: 209,674
Blk#: 675,831
Size: 1,308.2
Txs : 2,820
Pool: 38,778 (81.7 MB)
#bitcoin",2021-03-22 21:12:12
748,on the 03/22/2021 at 09:03 1BTC was worth $54705.00 #Bitcoin #Crypto #BotcoinUSD #Bitfinex,2021-03-22 21:03:12
749,"Top 5 Cryptocurrencies - Current Prices

Bitcoin $BTC: $54,991.16 🔻 -3.21% ☄☄☄
Ethereum $ETH: $1,696.75 🔻 -4.81% ☄☄… https://t.co/WlThSswq9K",2021-03-22 21:00:31
750,"Price of Bitcoin

U$    54,576.41
€U    45,969.00
R$    304,779.79

24H % change: -5.48%
Week % change: -3.00%
Mont… https://t.co/thgl6t5WGw",2021-03-22 21:00:26
751,Crypto Google Search Volumes (previous 7 days) #btc #cryptocurrency #crypto #bitcoin #dogecoin #cardano #ethereum T… https://t.co/dyMkKVtoMw,2021-03-22 21:00:05
752,"The price of
Spaghetti alla Carbonara
is 20,145 Satoshis
or 0.00020145 BTC

BTC price: 54,553.40 USD
on Monday, 22… https://t.co/hr2U8BH01A",2021-03-22 21:00:03
753,"RT @francispouliot_: If you had sold your house for Bitcoin 2 years ago at $400,000 today you'd have over $4,000,000. Now it's worth $650,0…",2021-03-22 20:59:03
754,"Bitfinex - Volume changed on Bitcoin (:CNHT/BTC)! Price: $355770.00 (+0.32%), Volume: +42.02%, Mentions Daily Chang… https://t.co/1CoJex9CYF",2021-03-22 20:55:36
755,Bitcoin Dubbed ‘Far Too Costly’ in Norway as Cashlessness Rules https://t.co/a4SwI0qCmq,2021-03-22 20:55:34
756,Going live at 4:00 PM CST on https://t.co/uzAIHA3aiu to discuss market wrap and Bitcoin and CBDC,2021-03-22 20:53:23
757,"RT @YourBTCC: Guess #Bitcoin Price by 17:00:00 on 28 March, 2021 (UTC + 8).

1⃣Follow &amp; RT
2⃣Comment to win 50 USDT

Register to win extra…",2021-03-22 20:51:12
758,"RT @Bitcoin8News: The $BTC price is at $54467.00 right now.
🔴 Compared to the last tweet, the price has dropped by $1233 (-2.21%).
🔴 In the…",2021-03-22 20:49:32
759,"The $BTC price is at $54467.00 right now.
🔴 Compared to the last tweet, the price has dropped by $1233 (-2.21%).
🔴… https://t.co/zBAwdpw6e5",2021-03-22 20:47:25
760,"Kraken - Volume changed on Bitcoin Cash (ETH/BCH)! Price: $0.30480000 (+0.63%), Volume: +54.62%, Mentions Daily Cha… https://t.co/oR3AWaoHmM",2021-03-22 20:46:51
761,"RT @MXC_Exchange: #MXCExchange will be listing $LEAD on the Innovation Zone today. @leadwallet 🔥

Deposit &amp; withdrawal is now OPEN🎉

LEAD/U…",2021-03-22 20:46:11
762,"RT @MXC_Exchange: #MXCExchange will be listing $LEAD on the Innovation Zone today. @leadwallet 🔥

Deposit &amp; withdrawal is now OPEN🎉

LEAD/U…",2021-03-22 20:44:57
763,RT @GamblinoKoin: $LAYER will start trading on KuCoin March 23 10:00 UTC time. This project has so much to offer and this listing will only…,2021-03-22 20:42:08
764,"RT @cryptochiggy: I'm discussing “🏦 Bitcoin IRA &amp; Tax 🏦 (w/ KeyKeeperIRA)” with @themachinebuilt, @squiresfit, @vandrewattycpa, David Caned…",2021-03-22 20:41:00
765,RT @Cokedupoptions: Really enjoyed the Bitcoin networking event in Miami last night! https://t.co/TLQxNOBuwu,2021-03-22 20:38:51
766,"RT @MXC_Exchange: #MXCExchange will be listing $LEAD on the Innovation Zone today. @leadwallet 🔥

Deposit &amp; withdrawal is now OPEN🎉

LEAD/U…",2021-03-22 20:32:37
767,"The $BTC price is at $55700.00 right now.
🔴 Compared to the last tweet, the price has dropped by $252 (-0.45%).
🔴 I… https://t.co/nF5jfof3Jx",2021-03-22 20:32:25
768,"Price of Bitcoin

U$    55,761.59
€U    46,841.00
R$    311,606.47

24H % change: -3.66%
Week % change: -1.72%
Mont… https://t.co/FyBx6zUDmy",2021-03-22 20:30:25
769,"RT @big_blockers: The current price of Bitcoin is $55758.00.
The current price of BCash is $525.78, or 0.00942968 BTC.
The current price of…",2021-03-22 20:28:05
770,"RT @MXC_Exchange: #MXCExchange will be listing $LEAD on the Innovation Zone today. @leadwallet 🔥

Deposit &amp; withdrawal is now OPEN🎉

LEAD/U…",2021-03-22 20:27:08
771,"RT @francispouliot_: If you had sold your house for Bitcoin 2 years ago at $400,000 today you'd have over $4,000,000. Now it's worth $650,0…",2021-03-22 20:25:20
772,New Bitcoin block 00..423483267a6153a6fc4e13a622cc0a0f0a61f06cd8374: 2400 transactions transferred a total of 8281.… https://t.co/gtLZpwvRfc,2021-03-22 20:22:37
773,"RT @TickerTop: 1: Bitcoin price is $56195.53 (-1.84% 1h)
2: Ethereum price is $1752.36 (-1.87% 1h)
3: Binance Coin price is $268.57 (-2.01%…",2021-03-22 20:22:19
774,"RT @ComBkex: 🔸 New Listing🔸 

#BKEX will list #HOGE @HogeFinance🚀 🚀 
- Trading pair: HOGE/USDT  
- Trading time: 20:00 on Mar 15 (UTC+8)

🔹…",2021-03-22 20:22:18
775,"1: Bitcoin price is $56195.53 (-1.84% 1h)
2: Ethereum price is $1752.36 (-1.87% 1h)
3: Binance Coin price is $268.5… https://t.co/aE1Y6tXMOc",2021-03-22 20:19:29
776,"RT @Bitcoin8News: The $BTC price is at $55952.00 right now.
🟢 Compared to the last tweet, the price has increased by $385.54 (0.69%).
🔴 In…",2021-03-22 20:18:57
777,"If you had sold your house for Bitcoin 2 years ago at $400,000 today you'd have over $4,000,000. Now it's worth $650,00.",2021-03-22 20:18:37
778,"The $BTC price is at $55952.00 right now.
🟢 Compared to the last tweet, the price has increased by $385.54 (0.69%).… https://t.co/zSVjBWnlLg",2021-03-22 20:17:25
779,"The current price of Bitcoin is $55758.00.
The current price of BCash is $525.78, or 0.00942968 BTC.
The current pr… https://t.co/FqiUohyAYH",2021-03-22 20:15:10
780,"RT @DocumentingBTC: Hal Finney sent this email only days after #Bitcoin was created. Mind you, a coin had no value at the time. A #Bitcoin…",2021-03-22 20:12:39
781,"RT @MXC_Exchange: #MXCExchange will be listing $LEAD on the Innovation Zone today. @leadwallet 🔥

Deposit &amp; withdrawal is now OPEN🎉

LEAD/U…",2021-03-22 20:12:19
782,"RT @MXC_Exchange: #MXCExchange will be listing $LEAD on the Innovation Zone today. @leadwallet 🔥

Deposit &amp; withdrawal is now OPEN🎉

LEAD/U…",2021-03-22 20:11:24
783,"RT @cryptochiggy: I'm discussing “🏦 Bitcoin IRA &amp; Tax 🏦 (w/ KeyKeeperIRA)” with @themachinebuilt, @squiresfit, @vandrewattycpa, David Caned…",2021-03-22 20:06:27
784,"Coinbase - Volume changed on Bitcoin Cash (GBP/BCH)! Price: $380.01 (+0.35%), Volume: +44.16%, Mentions Daily Chang… https://t.co/lW2Lw8YwNR",2021-03-22 20:02:00
785,on the 03/22/2021 at 08:01 1BTC was worth $55658.00 #Bitcoin #Crypto #BotcoinUSD #Bitfinex,2021-03-22 20:01:51
786,1 BTC Price: Bitstamp 55450.00 USD Coinbase  USD #btc #bitcoin 2021-03-22 16:01 https://t.co/N0YhCUIwAX,2021-03-22 20:01:03
787,"Top 5 Cryptocurrencies - Current Prices

$BTC: $56,175.12 - Bitcoin 🔻 -2.07% ☄☄
$ETH: $1,755.47 - Ethereum 🔻 -1.84%… https://t.co/RlIQICvg5g",2021-03-22 20:00:24
788,"The price of
Spaghetti alla Carbonara
is 19,779 Satoshis
or 0.00019779 BTC

BTC price: 55,564.30 USD
on Monday, 22… https://t.co/SWNyWeaOby",2021-03-22 20:00:04
789,"📉💰$2,940,931 #bitcoin SHORTED @$55,507.9179 [22/03/21 20:00:04]
🏤BitMEX | $XBTUSD

💬Everybody got a plan, until the… https://t.co/lS3XJ3zZOC",2021-03-22 20:00:04
790,"Crypto highlights as of 2021-03-22 16:00:02:
#Bitcoin $55,941.09 -2.74% 🔻
#Ethereum  $1,746.61  -2.78% 🔻",2021-03-22 20:00:02
791,"Bitcoin: $55,570.00
 -3.41% (-$1960.84)
High: $58,406.46
Low: $55,549.70
Volume: 256

$BTC #BTC #bitcoin",2021-03-22 20:00:01
792,"RT @MXC_Exchange: #MXCExchange will be listing $LEAD on the Innovation Zone today. @leadwallet 🔥

Deposit &amp; withdrawal is now OPEN🎉

LEAD/U…",2021-03-22 19:53:22
793,"$NULS / BTC Volume increase detected!

Spike: 3.07 BTC
24h Vol: 26.00 BTC

Get ALL the alerts here:… https://t.co/7w6doZnI5J",2021-03-22 19:52:53
794,"RT @MXC_Exchange: #MXCExchange will be listing $LEAD on the Innovation Zone today. @leadwallet 🔥

Deposit &amp; withdrawal is now OPEN🎉

LEAD/U…",2021-03-22 19:49:24
795,"#Crypto Top 5 by Total Volume

$USDT Tether $0.9990 (80.58B)
$BTC Bitcoin $55,951.00 (55.31B)
$ETH Ethereum $1,745.… https://t.co/hOPvGvHqZG",2021-03-22 19:49:02
796,"RT @MXC_Exchange: #MXCExchange will be listing $LEAD on the Innovation Zone today. @leadwallet 🔥

Deposit &amp; withdrawal is now OPEN🎉

LEAD/U…",2021-03-22 19:47:16
797,"RT @GregSchoen: I wish I had kept my 1,700 BTC @ $0.06 instead of selling them at $0.30, now that they're $8.00! #bitcoin",2021-03-22 19:44:48
798,"RT @MXC_Exchange: #MXCExchange will be listing $LEAD on the Innovation Zone today. @leadwallet 🔥

Deposit &amp; withdrawal is now OPEN🎉

LEAD/U…",2021-03-22 19:25:02
799,New Bitcoin block 00..a9404c7215c753bdd6db09440ab21d4408510ab2c4597: 2477 transactions transferred a total of 5714.… https://t.co/pw3Eci2wRm,2021-03-22 19:23:21
800,"RT @cryptochiggy: I'm discussing “🏦 Bitcoin IRA &amp; Tax 🏦 (w/ KeyKeeperIRA)” with @themachinebuilt, @squiresfit, @vandrewattycpa, David Caned…",2021-03-22 19:23:04
801,"RT @YourBTCC: Guess #Bitcoin Price by 17:00:00 on 28 March, 2021 (UTC + 8).

1⃣Follow &amp; RT
2⃣Comment to win 50 USDT

Register to win extra…",2021-03-22 19:19:45
802,"1: Bitcoin price is $56199.71 (-1.12% 1h)
2: Ethereum price is $1755.04 (-1.14% 1h)
3: Binance Coin price is $265.7… https://t.co/KeLX9GCMjw",2021-03-22 19:19:29
803,"🔴🔴 #𝗕𝗜𝗧𝗖𝗢𝗜𝗡 𝗣𝗥𝗜𝗖𝗘 𝗔𝗖𝗧𝗜𝗢𝗡 🔴🔴

Price 𝗽𝗹𝘂𝗻𝗴𝗲𝗱 by -0,82% ($-457,90) in 10 min 36 sec
Current Price: $55 786,00
Daily Ch… https://t.co/UsnqTQMoB7",2021-03-22 19:15:41
804,"🔴🔴 #𝗕𝗜𝗧𝗖𝗢𝗜𝗡 𝗣𝗥𝗜𝗖𝗘 𝗔𝗖𝗧𝗜𝗢𝗡 🔴🔴

Price 𝗽𝗹𝘂𝗻𝗴𝗲𝗱 by -0,81% ($-452,00) in 10 min 36 sec
Current Price: $55 792,00
Daily Ch… https://t.co/CZqIZmdvC8",2021-03-22 19:15:41
805,"🔴🔴 #𝗕𝗜𝗧𝗖𝗢𝗜𝗡 𝗣𝗥𝗜𝗖𝗘 𝗔𝗖𝗧𝗜𝗢𝗡 🔴🔴

Price 𝗽𝗹𝘂𝗻𝗴𝗲𝗱 by -0,80% ($-449,05) in 10 min 36 sec
Current Price: $55 795,00
Daily Ch… https://t.co/G3qtmb7QZH",2021-03-22 19:15:40
806,"The current price of Bitcoin is $56290.00.
The current price of BCash is $531.27, or 0.00943809 BTC.
The current pr… https://t.co/q9W7eJ5N2w",2021-03-22 19:15:02
